세부지역,개수,설비용량(kWh)
세종특별자치시 소정면,24,3.72214
세종특별자치시 조치원읍,36,2.2198
세종특별자치시 연동면,74,13.015115
세종특별자치시 전동면,50,5.03289
세종특별자치시 보람동,3,1.253
세종특별자치시 소담동,1,0.497
세종특별자치시 부강면,54,13.693325
세종특별자치시 금남면,46,4.71777
세종특별자치시 반곡동,4,1.71719
세종특별자치시 고운동,3,1.90244
세종특별자치시 대평동,2,0.994
세종특별자치시 연기면,18,4.44895
세종특별자치시 가람동,4,2.9928
세종특별자치시 도담동,1,0.093
세종특별자치시 다정동,1,2.99931
세종특별자치시 금송로,1,0.32731
울산광역시 울주군,450,87.70042
울산광역시 남구,82,19.7853
울산광역시 동구,21,0.93082
울산광역시 중구,11,0.482745
인천광역시 서구,307,56.733695
인천광역시 중구,70,21.152835
인천광역시 강화군,361,29.06763
인천광역시 남동구,83,15.23996
인천광역시 계양구,21,3.025555
인천광역시 미추홀구,29,1.706995
인천광역시 연수구,16,1.9345
인천광역시 부평구,27,2.339115
인천광역시 옹진군,34,14.97145
인천광역시 동구,7,1.95935
전라남도 무안군,1194,327.64278
전라남도 고흥군,1625,529.572335
전라남도 장성군,902,155.425105
전라남도 영광군,800,468.541365
전라남도 광양시,707,180.541865
전라남도 나주시,2357,450.447685
전라남도 신안군,493,1004.883525
전라남도 순천시,1436,285.330875
전라남도 보성군,776,195.85793
전라남도 영암군,2128,546.51471
전라남도 강진군,1041,217.04028
전라남도 완도군,595,81.51436
전라남도 목포시,402,67.23769
전라남도 진도군,623,120.69125
전라남도 화순군,1243,198.09871
전라남도 영광군,19,13.25795
전라남도 구례군,54,15.29937
전라남도 함평군,731,131.893235
전라남도 여수시,597,101.211925
전라남도 장흥군,766,142.137605
전라남도 담양군,673,82.25286
전라남도 곡성군,483,79.56753
충청남도 금산군,1562,204.519866
전북특별자치도 군산시,95,441.08211
전라남도 영암군,1,0.9936
전라남도 나주시,1,0.48576
전북특별자치도 남원시,103,70.354135
전북특별자치도 부안군,55,27.71791
전북특별자치도 임실군,40,21.00238
전북특별자치도 김제시,73,34.459255
전북특별자치도 고창군,94,71.678425
전북특별자치도 순창군,20,14.07734
전북특별자치도 장수군,61,47.977555
전북특별자치도 완주군,2029,239.03621
전북특별자치도 진안군,38,16.761575
전북특별자치도 완주군,52,34.98051
전북특별자치도 전주시,1005,70.120965
전북특별자치도 전주시,10,6.55297
전북특별자치도 정읍시,4032,436.917175
전북특별자치도 김제시,4678,538.263827
전북특별자치도 남원시,3305,449.441265
전북특별자치도 순창군,804,101.81234
전북특별자치도 익산시,5303,591.94916
전북특별자치도 임실군,1751,197.57489
전북특별자치도 장수군,1181,159.64371
전북특별자치도 부안군,1623,197.581805
전북특별자치도 군산시,1951,214.0552
전북특별자치도 진안군,1312,143.80301
전북특별자치도 무주군,648,64.064245
전북특별자치도 고창군,1579,206.401405
전북특별자치도 무주군,6,3.41482
전북특별자치도 김제시,10,0.99213
전북특별자치도 부안군,2,0.39858
