거래시간,지역, 태양광 발전량(MWh) 
15,경기도,19.64
16,경기도,29.34
17,경기도,25.25
18,경기도,26.68
19,경기도,17.15
20,경기도,3.25
21,경기도,1.85
22,경기도,0.6
23,경기도,0.05
24,경기도,   
1,강원도,   
2,강원도,   
3,강원도,   
4,강원도,   
5,강원도,   
6,강원도,0.02
7,강원도,4.83
8,강원도,19.3
9,강원도,32.87
10,강원도,56.23
11,강원도,50.19
12,강원도,50.77
13,강원도,65.15
14,강원도,51.95
15,강원도,32.82
16,강원도,19.82
17,강원도,34.51
18,강원도,44.5
19,강원도,53.67
20,강원도,19.9
21,강원도,10.12
22,강원도,1.16
23,강원도,0.21
24,강원도,0
1,경상남도,0.37
2,경상남도,0
3,경상남도,   
4,경상남도,   
5,경상남도,   
6,경상남도,0.01
7,경상남도,2.36
8,경상남도,12.1
9,경상남도,20.94
10,경상남도,31.45
11,경상남도,32.98
12,경상남도,29.02
13,경상남도,27.9
14,경상남도,13.6
15,경상남도,9.43
16,경상남도,4.99
17,경상남도,5.69
18,경상남도,5.8
19,경상남도,2.95
20,경상남도,3.75
21,경상남도,0.38
22,경상남도,0.05
23,경상남도,0.4
24,경상남도,0
1,경상북도,0.04
2,경상북도,0.02
3,경상북도,0.01
4,경상북도,0.01
5,경상북도,0.01
6,경상북도,0.08
7,경상북도,7.36
8,경상북도,32.21
9,경상북도,30.23
10,경상북도,31.11
11,경상북도,36.42
12,경상북도,30.41
13,경상북도,34.85
14,경상북도,22.98
15,경상북도,12.28
16,경상북도,7.27
17,경상북도,10.53
18,경상북도,10.01
19,경상북도,9.67
20,경상북도,11.35
21,경상북도,3.36
22,경상북도,1.11
23,경상북도,0.21
24,경상북도,0.04
1,전라남도,0.9
2,전라남도,0
3,전라남도,0
4,전라남도,0
5,전라남도,   
6,전라남도,0.02
7,전라남도,3.91
8,전라남도,24.43
9,전라남도,43.94
10,전라남도,55.72
11,전라남도,53.87
12,전라남도,48.55
13,전라남도,31.9
14,전라남도,21.03
15,전라남도,27.95
16,전라남도,25.3
17,전라남도,18.88
18,전라남도,38.06
19,전라남도,7.9
20,전라남도,10.27
21,전라남도,1.18
22,전라남도,0.08
23,전라남도,0.03
24,전라남도,0.02
1,전라북도,0.13
2,전라북도,0.34
3,전라북도,0.26
4,전라북도,   
5,전라북도,   
6,전라북도,0
7,전라북도,0.74
8,전라북도,2.34
9,전라북도,4.46
10,전라북도,5.18
11,전라북도,6.16
12,전라북도,9.74
13,전라북도,5.18
14,전라북도,6.18
15,전라북도,10.31
16,전라북도,12.71
17,전라북도,13.19
18,전라북도,14.33
19,전라북도,7.36
20,전라북도,1.96
21,전라북도,0.08
22,전라북도,0.01
23,전라북도,0.01
24,전라북도,0.15
1,충청남도,0.01
2,충청남도,0.01
3,충청남도,0.01
4,충청남도,0
5,충청남도,0.01
6,충청남도,0
7,충청남도,7.72
8,충청남도,22.05
9,충청남도,54.48
10,충청남도,37.46
11,충청남도,34.96
12,충청남도,34.56
13,충청남도,48.36
14,충청남도,44.36
15,충청남도,73.94
16,충청남도,65.35
17,충청남도,62.98
18,충청남도,77.79
19,충청남도,21.78
20,충청남도,17.64
21,충청남도,1.76
22,충청남도,0.11
23,충청남도,0.02
24,충청남도,0.02
1,충청북도,0
2,충청북도,   
3,충청북도,   
4,충청북도,   
5,충청북도,   
6,충청북도,0.02
7,충청북도,4.1
8,충청북도,15.4
9,충청북도,13.51
10,충청북도,17.71
11,충청북도,14.25
12,충청북도,14.77
13,충청북도,16.3
14,충청북도,11.15
15,충청북도,8.66
16,충청북도,5.79
17,충청북도,10.94
18,충청북도,15.92
19,충청북도,10.46
20,충청북도,7.16
21,충청북도,0.37
22,충청북도,0.13
23,충청북도,0.09
24,충청북도,0.01
1,제주도,0
2,제주도,0
3,제주도,0
4,제주도,0
5,제주도,0
6,제주도,0.01
7,제주도,5.06
8,제주도,16.28
9,제주도,31.82
10,제주도,46.25
11,제주도,44.95
12,제주도,53.32
13,제주도,64.92
14,제주도,52.12
15,제주도,46.74
16,제주도,36.51
17,제주도,18.98
18,제주도,11.76
19,제주도,7.16
20,제주도,6.6
21,제주도,3.81
22,제주도,0.49
23,제주도,0.06
24,제주도,0.01
1,서울시,   
2,서울시,   
3,서울시,   
4,서울시,   
5,서울시,   
6,서울시,   
7,서울시,0.12
8,서울시,0.42
9,서울시,1.3
10,서울시,1.63
11,서울시,1.77
12,서울시,2.52
13,서울시,3.9
14,서울시,2.73
15,서울시,1.62
16,서울시,2.55
17,서울시,1.47
18,서울시,1.21
19,서울시,0.41
20,서울시,0.08
21,서울시,   
22,서울시,   
23,서울시,   
24,서울시,   
1,인천시,   
2,인천시,   
3,인천시,   
4,인천시,   
5,인천시,   
6,인천시,   
7,인천시,0.17
8,인천시,1.08
9,인천시,3.32
10,인천시,2.64
11,인천시,3.67
12,인천시,6.06
13,인천시,7.7
14,인천시,3.68
15,인천시,5
16,인천시,8.19
17,인천시,9.41
18,인천시,5.27
19,인천시,2.04
20,인천시,0.34
21,인천시,0
22,인천시,   
23,인천시,   
24,인천시,   
1,대전시,   
2,대전시,   
3,대전시,   
4,대전시,   
5,대전시,   
6,대전시,   
7,대전시,0.14
8,대전시,0.76
9,대전시,0.81
10,대전시,1.03
11,대전시,0.59
12,대전시,0.68
13,대전시,0.55
14,대전시,0.52
15,대전시,0.52
16,대전시,0.28
17,대전시,0.42
18,대전시,0.19
19,대전시,0.03
20,대전시,0
21,대전시,   
22,대전시,   
23,대전시,   
24,대전시,   
1,광주시,   
2,광주시,   
3,광주시,   
4,광주시,   
5,광주시,   
6,광주시,   
7,광주시,0.45
8,광주시,1.01
9,광주시,1.85
10,광주시,2.14
11,광주시,2.64
12,광주시,1.53
13,광주시,1.37
14,광주시,0.4
15,광주시,0.47
16,광주시,0.85
17,광주시,0.64
18,광주시,0.21
19,광주시,0.16
20,광주시,0.01
21,광주시,0.1
22,광주시,   
23,광주시,   
24,광주시,   
1,대구시,   
2,대구시,   
3,대구시,   
4,대구시,   
5,대구시,   
6,대구시,   
7,대구시,0.06
8,대구시,1.19
9,대구시,1.98
10,대구시,3.12
11,대구시,3.93
12,대구시,1.42
13,대구시,1.12
14,대구시,0.59
15,대구시,0.77
16,대구시,0.37
17,대구시,0.65
18,대구시,0.33
19,대구시,0.01
20,대구시,1.01
21,대구시,0.02
22,대구시,   
23,대구시,   
24,대구시,   
1,세종시,   
2,세종시,   
3,세종시,   
4,세종시,   
5,세종시,   
6,세종시,0
7,세종시,0.44
8,세종시,1.19
9,세종시,1.59
10,세종시,2.07
11,세종시,1.44
12,세종시,1.75
13,세종시,1.55
14,세종시,1.55
15,세종시,1.31
16,세종시,0.87
17,세종시,0.79
18,세종시,1.01
19,세종시,0.19
20,세종시,0.02
21,세종시,   
22,세종시,   
23,세종시,   
24,세종시,   
1,울산시,   
2,울산시,   
3,울산시,   
4,울산시,   
5,울산시,   
6,울산시,   
7,울산시,0.69
8,울산시,2.7
9,울산시,4.14
10,울산시,5.44
11,울산시,7.34
12,울산시,8.21
13,울산시,4.27
14,울산시,4
15,울산시,2.13
16,울산시,1.17
17,울산시,0.85
18,울산시,0.55
19,울산시,0.02
20,울산시,0.16
21,울산시,   
22,울산시,   
23,울산시,   
24,울산시,   
1,부산시,   
2,부산시,   
3,부산시,   
4,부산시,   
5,부산시,   
6,부산시,0.01
7,부산시,1.56
8,부산시,7.12
9,부산시,9.84
10,부산시,11.45
11,부산시,16.23
12,부산시,10.56
13,부산시,9.15
14,부산시,7.47
15,부산시,5.68
16,부산시,4.78
17,부산시,3.3
18,부산시,3.03
19,부산시,0.94
20,부산시,0.11
21,부산시,   
22,부산시,   
23,부산시,   
24,부산시,   
1,경기도,0
2,경기도,   
3,경기도,   
4,경기도,   
5,경기도,   
6,경기도,0.02
7,경기도,3.98
8,경기도,16.98
9,경기도,29.04
10,경기도,37.38
11,경기도,34.91
12,경기도,28.25
13,경기도,24.27
14,경기도,31.3
15,경기도,28.84
16,경기도,23.59
17,경기도,19.05
18,경기도,12.72
19,경기도,9.24
20,경기도,1.6
21,경기도,0.41
22,경기도,   
23,경기도,   
24,경기도,   
1,강원도,   
2,강원도,   
3,강원도,   
4,강원도,   
5,강원도,0
6,강원도,0.07
7,강원도,7
8,강원도,32.48
9,강원도,63.67
10,강원도,67.04
11,강원도,46.04
12,강원도,42.08
13,강원도,37.63
14,강원도,32.28
15,강원도,28.97
16,강원도,25.41
17,강원도,44.08
18,강원도,43.82
19,강원도,43.55
20,강원도,28.16
21,강원도,6.82
22,강원도,0.42
23,강원도,0.06
24,강원도,0
1,경상남도,0.39
2,경상남도,0
3,경상남도,   
4,경상남도,   
5,경상남도,   
6,경상남도,   
7,경상남도,0.01
8,경상남도,0.16
9,경상남도,1.09
10,경상남도,6.2
11,경상남도,15.55
12,경상남도,10.06
13,경상남도,8.31
14,경상남도,8.9
15,경상남도,11.01
16,경상남도,15.11
17,경상남도,14.43
18,경상남도,11
19,경상남도,4.7
20,경상남도,1.66
21,경상남도,0.03
22,경상남도,0.13
23,경상남도,0.11
24,경상남도,   
1,경상북도,0.02
2,경상북도,0.02
3,경상북도,0.01
4,경상북도,0.01
5,경상북도,0
6,경상북도,0.06
7,경상북도,0.79
8,경상북도,4.93
9,경상북도,13.06
10,경상북도,17.58
11,경상북도,12.47
12,경상북도,10.01
13,경상북도,18.69
14,경상북도,19.64
15,경상북도,16.65
16,경상북도,18.65
17,경상북도,22.9
18,경상북도,12.47
19,경상북도,6.99
20,경상북도,7.62
21,경상북도,2.15
22,경상북도,0.48
23,경상북도,0.06
24,경상북도,0.04
1,전라남도,0.01
2,전라남도,0
3,전라남도,0
4,전라남도,   
5,전라남도,0
6,전라남도,0
7,전라남도,1.75
8,전라남도,16.51
9,전라남도,31.39
10,전라남도,32.79
11,전라남도,32.28
12,전라남도,47.51
13,전라남도,76.67
14,전라남도,117.71
15,전라남도,112.74
16,전라남도,111.71
17,전라남도,124.31
18,전라남도,235.03
19,전라남도,148.82
20,전라남도,48.79
21,전라남도,6.09
22,전라남도,1.2
23,전라남도,0.4
24,전라남도,0.07
1,전라북도,0.15
2,전라북도,0.08
3,전라북도,   
4,전라북도,   
5,전라북도,0
6,전라북도,0
7,전라북도,0.06
8,전라북도,0.63
9,전라북도,1.2
10,전라북도,1.81
11,전라북도,5.82
12,전라북도,4.84
13,전라북도,3.33
14,전라북도,4.37
15,전라북도,7.09
16,전라북도,6.66
17,전라북도,6.89
18,전라북도,9.53
19,전라북도,6.88
20,전라북도,0.49
21,전라북도,0
22,전라북도,0
23,전라북도,   
24,전라북도,   
1,충청남도,0.01
2,충청남도,0
3,충청남도,0
4,충청남도,   
5,충청남도,0
6,충청남도,0
7,충청남도,5.21
8,충청남도,13.05
9,충청남도,19.12
10,충청남도,27.91
11,충청남도,15.72
12,충청남도,33.29
13,충청남도,41.89
14,충청남도,44.18
15,충청남도,51.41
16,충청남도,41.87
17,충청남도,37.91
18,충청남도,33.7
19,충청남도,5.22
20,충청남도,10.57
21,충청남도,0.64
22,충청남도,0.08
23,충청남도,0.02
24,충청남도,0.01
1,충청북도,0
2,충청북도,   
3,충청북도,   
4,충청북도,   
5,충청북도,   
6,충청북도,0
7,충청북도,1.58
8,충청북도,5.72
9,충청북도,11
10,충청북도,8.91
11,충청북도,5.39
12,충청북도,5.4
13,충청북도,7.61
14,충청북도,9.02
15,충청북도,13.05
16,충청북도,14.47
17,충청북도,22.85
18,충청북도,13.23
19,충청북도,6.61
20,충청북도,3.77
21,충청북도,0.18
22,충청북도,0.15
23,충청북도,0.04
24,충청북도,0.01
1,제주도,0.01
2,제주도,0
3,제주도,0
4,제주도,0
5,제주도,0
6,제주도,0
7,제주도,1.68
8,제주도,8.45
9,제주도,23.76
10,제주도,28.12
11,제주도,34.47
12,제주도,47.6
13,제주도,59.44
14,제주도,87.71
15,제주도,67.51
16,제주도,56.69
17,제주도,39.56
18,제주도,35.47
19,제주도,14.98
20,제주도,7.43
21,제주도,4.84
22,제주도,1.03
23,제주도,0.08
24,제주도,0.08
1,서울시,   
2,서울시,   
3,서울시,   
4,서울시,   
5,서울시,   
6,서울시,   
7,서울시,0.39
8,서울시,1.99
9,서울시,2.31
10,서울시,1.72
11,서울시,1.41
12,서울시,0.62
13,서울시,1.37
14,서울시,1.68
15,서울시,2.02
16,서울시,2.04
17,서울시,2.06
18,서울시,0.4
19,서울시,0.04
20,서울시,   
21,서울시,   
22,서울시,   
23,서울시,   
24,서울시,   
1,인천시,   
2,인천시,   
3,인천시,   
4,인천시,   
5,인천시,0
6,인천시,0
7,인천시,1.06
8,인천시,3.23
9,인천시,2.76
10,인천시,2.41
11,인천시,1.45
12,인천시,2.08
13,인천시,3.32
14,인천시,4.99
15,인천시,3.85
16,인천시,6.75
17,인천시,6.18
18,인천시,0.85
19,인천시,0.79
20,인천시,0
21,인천시,   
22,인천시,   
23,인천시,   
24,인천시,   
1,대전시,   
2,대전시,   
3,대전시,   
4,대전시,   
5,대전시,   
6,대전시,   
7,대전시,0
8,대전시,0.05
9,대전시,0.31
10,대전시,0.14
11,대전시,0.1
12,대전시,0.41
13,대전시,0.55
14,대전시,0.49
15,대전시,0.94
16,대전시,1.03
17,대전시,0.94
18,대전시,0.55
19,대전시,0.08
20,대전시,0
21,대전시,   
22,대전시,   
23,대전시,   
24,대전시,   
1,광주시,   
2,광주시,   
3,광주시,   
4,광주시,   
5,광주시,   
6,광주시,   
7,광주시,0.06
8,광주시,0.4
9,광주시,1.48
10,광주시,0.28
11,광주시,0.54
12,광주시,0.84
13,광주시,1.9
14,광주시,4.02
15,광주시,4.49
16,광주시,6.64
17,광주시,6.35
18,광주시,3.35
19,광주시,1.52
20,광주시,0.16
21,광주시,0.17
22,광주시,0.11
23,광주시,   
24,광주시,   
1,대구시,   
2,대구시,   
3,대구시,   
4,대구시,   
5,대구시,   
6,대구시,   
7,대구시,0
8,대구시,0.01
9,대구시,0.59
10,대구시,0.95
11,대구시,1.21
12,대구시,0.46
13,대구시,1.07
14,대구시,0.9
15,대구시,0.38
16,대구시,2.1
17,대구시,1.35
18,대구시,0.02
19,대구시,0.01
20,대구시,0.19
21,대구시,0
22,대구시,0
23,대구시,0
24,대구시,0
1,세종시,   
2,세종시,   
3,세종시,   
4,세종시,   
5,세종시,   
6,세종시,   
7,세종시,0.09
8,세종시,0.42
9,세종시,0.84
10,세종시,0.48
11,세종시,0.29
12,세종시,0.55
13,세종시,1.11
14,세종시,1.54
15,세종시,2.84
16,세종시,2.45
17,세종시,2.1
18,세종시,1.02
19,세종시,0.07
20,세종시,   
21,세종시,   
22,세종시,   
23,세종시,   
24,세종시,   
1,울산시,   
2,울산시,   
3,울산시,   
4,울산시,   
5,울산시,   
6,울산시,   
7,울산시,0
8,울산시,0.04
9,울산시,0.38
10,울산시,1.44
11,울산시,1.89
12,울산시,2.43
13,울산시,3.48
14,울산시,2.28
15,울산시,1.58
16,울산시,1.45
17,울산시,1.35
18,울산시,0.96
19,울산시,0.19
20,울산시,0.05
21,울산시,   
22,울산시,   
23,울산시,   
24,울산시,   
1,부산시,   
2,부산시,   
3,부산시,   
4,부산시,   
5,부산시,   
6,부산시,   
7,부산시,0
8,부산시,0.18
9,부산시,1.52
10,부산시,1.37
11,부산시,3.1
12,부산시,7.22
13,부산시,6.73
14,부산시,5.7
15,부산시,3.22
16,부산시,2.49
17,부산시,3.57
18,부산시,4.76
19,부산시,1.77
20,부산시,0
21,부산시,   
22,부산시,   
23,부산시,   
24,부산시,   
1,경기도,0
2,경기도,   
3,경기도,   
4,경기도,   
5,경기도,   
6,경기도,0
7,경기도,0.22
8,경기도,0.83
9,경기도,2.42
10,경기도,4.42
11,경기도,6.9
12,경기도,11.2
13,경기도,12.21
14,경기도,10.91
15,경기도,17.45
16,경기도,10.44
17,경기도,9.9
18,경기도,10.56
19,경기도,3.46
20,경기도,0.4
21,경기도,0.61
22,경기도,0.02
23,경기도,0
24,경기도,   
1,강원도,   
2,강원도,   
3,강원도,   
4,강원도,   
5,강원도,   
6,강원도,0
7,강원도,0.4
8,강원도,3.59
9,강원도,8.52
10,강원도,16.55
11,강원도,22.13
12,강원도,34.3
13,강원도,42.99
14,강원도,41.01
15,강원도,28.7
16,강원도,28.11
17,강원도,36.37
18,강원도,23.02
19,강원도,27.07
20,강원도,12.59
21,강원도,9.33
22,강원도,4
23,강원도,0.26
24,강원도,0.01
1,경상남도,0.12
2,경상남도,   
3,경상남도,   
4,경상남도,   
5,경상남도,   
6,경상남도,0.04
7,경상남도,6.99
8,경상남도,30.39
9,경상남도,54.1
10,경상남도,77.32
11,경상남도,83.61
12,경상남도,94.2
13,경상남도,109.79
14,경상남도,115.52
15,경상남도,109.16
16,경상남도,86.32
17,경상남도,73.95
18,경상남도,44.99
19,경상남도,24.79
20,경상남도,23.71
21,경상남도,17.69
22,경상남도,11.47
23,경상남도,3.68
24,경상남도,0.88
1,경상북도,0.02
2,경상북도,0.01
3,경상북도,0.01
4,경상북도,0.01
5,경상북도,0
6,경상북도,0.08
7,경상북도,8.03
8,경상북도,36.33
9,경상북도,70.7
10,경상북도,122.01
11,경상북도,138.17
12,경상북도,160.88
13,경상북도,175.15
14,경상북도,167.14
15,경상북도,178.06
16,경상북도,174.83
17,경상북도,139.8
18,경상북도,76.82
19,경상북도,49.65
20,경상북도,61.23
21,경상북도,63.13
22,경상북도,45.11
23,경상북도,15.65
24,경상북도,3.18
1,전라남도,1.18
2,전라남도,0.11
3,전라남도,0
4,전라남도,   
5,전라남도,   
6,전라남도,0.05
7,전라남도,16.36
8,전라남도,103.75
9,전라남도,289.78
10,전라남도,480.91
11,전라남도,302.55
12,전라남도,354.27
13,전라남도,370.61
14,전라남도,414.48
15,전라남도,527.82
16,전라남도,554.86
17,전라남도,461.84
18,전라남도,554.68
19,전라남도,439.59
20,전라남도,453.15
21,전라남도,277.11
22,전라남도,114.52
23,전라남도,14.43
24,전라남도,3.72
1,전라북도,0
2,전라북도,   
3,전라북도,   
4,전라북도,   
5,전라북도,   
6,전라북도,0
7,전라북도,0.95
8,전라북도,6.02
9,전라북도,19.27
10,전라북도,49.45
11,전라북도,56.74
12,전라북도,64.92
13,전라북도,77.76
14,전라북도,92.65
15,전라북도,91.16
16,전라북도,85.57
17,전라북도,81.74
18,전라북도,66.5
19,전라북도,50.01
20,전라북도,56.8
21,전라북도,44
22,전라북도,25.47
23,전라북도,5.42
24,전라북도,1.52
1,충청남도,0.01
2,충청남도,0
3,충청남도,   
4,충청남도,   
5,충청남도,   
6,충청남도,   
7,충청남도,0.08
8,충청남도,2.23
9,충청남도,6.74
10,충청남도,15.12
11,충청남도,31.2
12,충청남도,35.11
13,충청남도,39.28
14,충청남도,71.02
15,충청남도,55.87
16,충청남도,44.6
17,충청남도,82.92
18,충청남도,68.06
19,충청남도,29.22
20,충청남도,22.15
21,충청남도,4.36
22,충청남도,0.95
23,충청남도,0.15
24,충청남도,0.03
1,충청북도,0
2,충청북도,   
3,충청북도,   
4,충청북도,   
5,충청북도,   
6,충청북도,   
7,충청북도,0.5
8,충청북도,2.21
9,충청북도,8.95
10,충청북도,18.04
11,충청북도,22.44
12,충청북도,30.42
13,충청북도,30.03
14,충청북도,27.9
15,충청북도,40.33
16,충청북도,33.09
17,충청북도,37.27
18,충청북도,46.57
19,충청북도,29.22
20,충청북도,19.85
21,충청북도,8
22,충청북도,3.13
23,충청북도,0.96
24,충청북도,0.07
1,제주도,0.01
2,제주도,0
3,제주도,0
4,제주도,0
5,제주도,0
6,제주도,0.02
7,제주도,8.17
8,제주도,33.3
9,제주도,60.85
10,제주도,100.58
11,제주도,132.62
12,제주도,156.9
13,제주도,155.04
14,제주도,148.02
15,제주도,132.9
16,제주도,97.97
17,제주도,77.41
18,제주도,41.61
19,제주도,12.69
20,제주도,7.79
21,제주도,5.77
22,제주도,2.6
23,제주도,0.22
24,제주도,0.07
1,서울시,   
2,서울시,   
3,서울시,   
4,서울시,   
5,서울시,   
6,서울시,   
7,서울시,0
8,서울시,0.05
9,서울시,0.12
10,서울시,0.29
11,서울시,0.47
12,서울시,0.53
13,서울시,0.65
14,서울시,0.64
15,서울시,0.55
16,서울시,0.78
17,서울시,0.51
18,서울시,0.27
19,서울시,0.03
20,서울시,   
21,서울시,   
22,서울시,   
23,서울시,   
24,서울시,   
1,인천시,   
2,인천시,0
3,인천시,   
4,인천시,   
5,인천시,   
6,인천시,0
7,인천시,0.01
8,인천시,0.09
9,인천시,0.74
10,인천시,0.76
11,인천시,0.63
12,인천시,0.84
13,인천시,0.75
14,인천시,0.54
15,인천시,0.42
16,인천시,0.55
17,인천시,1.81
18,인천시,0.37
19,인천시,0.11
20,인천시,   
21,인천시,   
22,인천시,   
23,인천시,0
24,인천시,   
1,대전시,   
2,대전시,   
3,대전시,   
4,대전시,   
5,대전시,   
6,대전시,   
7,대전시,0
8,대전시,0.19
9,대전시,0.74
10,대전시,1.32
11,대전시,1.5
12,대전시,2.12
13,대전시,1.45
14,대전시,2.32
15,대전시,3.77
16,대전시,3.23
17,대전시,1.97
18,대전시,1.37
19,대전시,0.51
20,대전시,0
21,대전시,   
22,대전시,   
23,대전시,   
24,대전시,   
1,광주시,   
2,광주시,   
3,광주시,   
4,광주시,   
5,광주시,   
6,광주시,   
7,광주시,0.15
8,광주시,2.16
9,광주시,7.98
10,광주시,22.78
11,광주시,22.73
12,광주시,30.03
13,광주시,24.99
14,광주시,21.95
15,광주시,28.34
16,광주시,24.45
17,광주시,14.54
18,광주시,9.59
19,광주시,5.12
20,광주시,2.12
21,광주시,1.84
22,광주시,1.08
23,광주시,0.54
24,광주시,0.18
1,대구시,   
2,대구시,   
3,대구시,   
4,대구시,   
5,대구시,   
6,대구시,0
7,대구시,1.12
8,대구시,5.46
9,대구시,11.36
10,대구시,17.12
11,대구시,16
12,대구시,18.47
13,대구시,16.9
14,대구시,20.55
15,대구시,19.28
16,대구시,14.91
17,대구시,13.46
18,대구시,6.06
19,대구시,1.83
20,대구시,3.2
21,대구시,3.15
22,대구시,1.92
23,대구시,0.07
24,대구시,0
1,세종시,   
2,세종시,   
3,세종시,   
4,세종시,   
5,세종시,   
6,세종시,   
7,세종시,   
8,세종시,0.18
9,세종시,0.93
10,세종시,1.48
11,세종시,2.18
12,세종시,2.84
13,세종시,1.59
14,세종시,3.4
15,세종시,3.58
16,세종시,2.68
17,세종시,2.88
18,세종시,2.99
19,세종시,0.98
20,세종시,0.03
21,세종시,   
22,세종시,   
23,세종시,   
24,세종시,   
1,울산시,   
2,울산시,   
3,울산시,   
4,울산시,   
5,울산시,   
6,울산시,0.01
7,울산시,1.24
8,울산시,4.78
9,울산시,8
10,울산시,8.71
11,울산시,13.51
12,울산시,14.55
13,울산시,16.11
14,울산시,16.56
15,울산시,11.71
16,울산시,9.06
17,울산시,7.11
18,울산시,4.44
19,울산시,1.18
20,울산시,0.26
21,울산시,0.21
22,울산시,0.19
23,울산시,0.07
24,울산시,   
1,부산시,   
2,부산시,   
3,부산시,   
4,부산시,   
5,부산시,   
6,부산시,0.01
7,부산시,2.65
8,부산시,9.13
9,부산시,15.42
10,부산시,26.13
11,부산시,27.18
12,부산시,28.17
13,부산시,27.98
14,부산시,33.19
15,부산시,15.04
16,부산시,20.98
17,부산시,12.92
18,부산시,10.26
19,부산시,5.22
20,부산시,2.48
21,부산시,1.96
22,부산시,0.29
23,부산시,   
24,부산시,   
1,경기도,0
2,경기도,   
3,경기도,   
4,경기도,   
5,경기도,   
6,경기도,0
7,경기도,1.38
8,경기도,12.76
9,경기도,28.52
10,경기도,42.88
11,경기도,39.24
12,경기도,43.05
13,경기도,41.16
14,경기도,27.49
15,경기도,23.31
16,경기도,20.13
17,경기도,12.36
18,경기도,13.77
19,경기도,10.71
20,경기도,5.03
21,경기도,3.7
22,경기도,0.81
23,경기도,   
24,경기도,   
1,강원도,   
2,강원도,   
3,강원도,   
4,강원도,   
5,강원도,   
6,강원도,0.09
7,강원도,5.87
8,강원도,27.78
9,강원도,48.38
10,강원도,51.41
11,강원도,36.89
12,강원도,37.65
13,강원도,76.79
14,강원도,61.45
15,강원도,28.63
16,강원도,15.5
17,강원도,25.65
18,강원도,23.17
19,강원도,32.53
20,강원도,18.29
21,강원도,8.72
22,강원도,1.45
23,강원도,0.09
24,강원도,0.01
1,경상남도,1.18
2,경상남도,0.93
3,경상남도,0.6
4,경상남도,0.36
5,경상남도,0.01
6,경상남도,0.07
7,경상남도,2.92
8,경상남도,10.98
9,경상남도,30.16
10,경상남도,45.79
11,경상남도,46.06
12,경상남도,31.11
13,경상남도,30.1
14,경상남도,26.55
15,경상남도,23.45
16,경상남도,10.29
17,경상남도,3.74
18,경상남도,11.73
19,경상남도,9.85
20,경상남도,5.29
21,경상남도,1.27
22,경상남도,0.18
23,경상남도,0.57
24,경상남도,0.08
1,경상북도,1.34
2,경상북도,0.18
3,경상북도,0.03
4,경상북도,0.02
5,경상북도,0.01
6,경상북도,0.08
7,경상북도,10.78
8,경상북도,24.53
9,경상북도,25.85
10,경상북도,31.04
11,경상북도,78.99
12,경상북도,114.89
13,경상북도,62.96
14,경상북도,34.94
15,경상북도,24.01
16,경상북도,18.77
17,경상북도,15.52
18,경상북도,13.73
19,경상북도,25.09
20,경상북도,37
21,경상북도,16.12
22,경상북도,3.71
23,경상북도,1.06
24,경상북도,0.16
1,전라남도,1.83
2,전라남도,1.24
3,전라남도,1.23
4,전라남도,0.69
5,전라남도,0
6,전라남도,0.01
7,전라남도,26.52
8,전라남도,150.51
9,전라남도,294.11
10,전라남도,351.09
11,전라남도,143.37
12,전라남도,123.16
13,전라남도,99.1
14,전라남도,76.46
15,전라남도,84.73
16,전라남도,92.17
17,전라남도,175.33
18,전라남도,327.59
19,전라남도,274.31
20,전라남도,163.97
21,전라남도,54.98
22,전라남도,10.11
23,전라남도,0.52
24,전라남도,0.27
1,전라북도,0.85
2,전라북도,0.72
3,전라북도,0.63
4,전라북도,0.2
5,전라북도,0.18
6,전라북도,0.01
7,전라북도,3.34
8,전라북도,38.03
9,전라북도,59.68
10,전라북도,93.89
11,전라북도,92.43
12,전라북도,64.87
13,전라북도,33.75
14,전라북도,33.8
15,전라북도,22.39
16,전라북도,14.12
17,전라북도,27.56
18,전라북도,38.79
19,전라북도,29.92
20,전라북도,29.68
21,전라북도,8.88
22,전라북도,0.94
23,전라북도,0.29
24,전라북도,0.13
1,충청남도,0.02
2,충청남도,0
3,충청남도,   
4,충청남도,   
5,충청남도,   
6,충청남도,0
7,충청남도,9.82
8,충청남도,56.93
9,충청남도,138.45
10,충청남도,176.07
11,충청남도,125.03
12,충청남도,143.23
13,충청남도,111.87
14,충청남도,87.64
15,충청남도,78.22
16,충청남도,64.66
17,충청남도,65.28
18,충청남도,116.43
19,충청남도,91
20,충청남도,59.99
21,충청남도,18.61
22,충청남도,3.39
23,충청남도,0.23
24,충청남도,0.02
1,충청북도,0
2,충청북도,   
3,충청북도,   
4,충청북도,   
5,충청북도,   
6,충청북도,0.01
7,충청북도,4.89
8,충청북도,17.96
9,충청북도,28.07
10,충청북도,30.56
11,충청북도,28.39
12,충청북도,42.05
13,충청북도,39.64
14,충청북도,9.89
15,충청북도,12.72
16,충청북도,7.86
17,충청북도,11.19
18,충청북도,24.8
19,충청북도,16.38
20,충청북도,14.63
21,충청북도,4.14
22,충청북도,0.73
23,충청북도,0.06
24,충청북도,0.02
1,제주도,0
2,제주도,0
3,제주도,0
4,제주도,0
5,제주도,0
6,제주도,0.01
7,제주도,4.19
8,제주도,13.09
9,제주도,20.75
10,제주도,38.27
11,제주도,28.79
12,제주도,53.47
13,제주도,68.59
14,제주도,63.31
15,제주도,55.67
16,제주도,62.35
17,제주도,36.75
18,제주도,19
