년월,시구,계약구분,단위 전력사용량 kwh/count,단위 전력사용량(%)
202008,부산광역시,숙박 및 음식점업,3360.510059,1.448264845
202008,부산광역시,운수 및 창고업,21681.70775,9.344074132
202008,부산광역시,"전기, 가스, 증기 및 공기 조절 공급업",14854.52558,6.401792231
202008,부산광역시,"전문, 과학 및 기술 서비스업",4558.128455,1.964397393
202008,부산광역시,정보통신업,3132.880219,1.350164173
202008,부산광역시,제조업,25803.17078,11.12028367
202008,서울특별시,"공공 행정, 국방 및 사회보장 행정",17467.16637,8.710476298
202008,서울특별시,교육 서비스업,13983.82373,6.973413008
202008,서울특별시,국제 및 외국기관,31226.38272,15.57188274
202008,서울특별시,금융 및 보험업,23289.65541,11.61401839
202008,서울특별시,보건업 및 사회복지 서비스업,14739.02352,7.350013868
202008,서울특별시,부동산업,4710.204661,2.348871316
202008,서울특별시,숙박 및 음식점업,3790.898973,1.890434599
202008,서울특별시,운수 및 창고업,67775.30045,33.79799194
202008,서울특별시,"전기, 가스, 증기 및 공기 조절 공급업",7705.596747,3.842604828
202008,서울특별시,"전문, 과학 및 기술 서비스업",6928.389311,3.455029259
202008,서울특별시,정보통신업,5964.024335,2.974122506
202008,서울특별시,제조업,2950.087692,1.471141247
202008,세종특별자치시,"공공 행정, 국방 및 사회보장 행정",47695.79447,18.61036453
202008,세종특별자치시,교육 서비스업,19038.86577,7.428752077
202008,세종특별자치시,금융 및 보험업,5592.293333,2.182050192
202008,세종특별자치시,보건업 및 사회복지 서비스업,10345.42623,4.036669385
202008,세종특별자치시,부동산업,4515.928016,1.762064507
202008,세종특별자치시,숙박 및 음식점업,2335.89916,0.911441676
202008,세종특별자치시,운수 및 창고업,11836.15,4.618333096
202008,세종특별자치시,"전기, 가스, 증기 및 공기 조절 공급업",3208.756148,1.252020692
202008,세종특별자치시,"전문, 과학 및 기술 서비스업",23713.5679,9.252768464
202008,세종특별자치시,정보통신업,2425.900417,0.946559159
202008,세종특별자치시,제조업,125577.61,48.99897623
202008,울산광역시,"공공 행정, 국방 및 사회보장 행정",11346.328,1.778372665
202008,울산광역시,교육 서비스업,10514.52732,1.64799995
202008,울산광역시,금융 및 보험업,6248.534759,0.97936737
202008,울산광역시,보건업 및 사회복지 서비스업,6888.079229,1.079606708
202008,울산광역시,부동산업,2017.678489,0.316241895
202008,울산광역시,숙박 및 음식점업,2818.162582,0.441706189
202008,울산광역시,운수 및 창고업,13117.52281,2.055981811
202008,울산광역시,"전기, 가스, 증기 및 공기 조절 공급업",85264.78125,13.36402017
202008,울산광역시,"전문, 과학 및 기술 서비스업",5206.259766,0.816005853
202008,울산광역시,정보통신업,1819.231934,0.285138271
202008,울산광역시,제조업,492776.3479,77.23555912
202008,인천광역시,"공공 행정, 국방 및 사회보장 행정",13503.98233,7.596724136
202008,인천광역시,교육 서비스업,8771.603159,4.934503601
202008,인천광역시,금융 및 보험업,16183.37997,9.104030959
202008,인천광역시,보건업 및 사회복지 서비스업,9204.304666,5.177921721
202008,인천광역시,부동산업,4481.915488,2.521321099
202008,인천광역시,숙박 및 음식점업,3210.679682,1.806181854
202008,인천광역시,운수 및 창고업,33774.59109,19.00004347
202008,인천광역시,"전기, 가스, 증기 및 공기 조절 공급업",24708.97927,13.90014402
202008,인천광역시,"전문, 과학 및 기술 서비스업",10722.84492,6.032183163
202008,인천광역시,정보통신업,2472.630752,1.39098921
202008,인천광역시,제조업,50725.68767,28.53595676
202008,전라남도,"공공 행정, 국방 및 사회보장 행정",5544.524223,3.11731754
202008,전라남도,교육 서비스업,6736.815285,3.787663578
202008,전라남도,금융 및 보험업,4903.818623,2.757091356
202008,전라남도,보건업 및 사회복지 서비스업,6206.758129,3.489647661
202008,전라남도,부동산업,1815.077845,1.020497661
202008,전라남도,숙박 및 음식점업,2598.420385,1.460919119
202008,전라남도,운수 및 창고업,1900.705992,1.068640679
202008,전라남도,"전기, 가스, 증기 및 공기 조절 공급업",24511.47714,13.78117483
202008,전라남도,"전문, 과학 및 기술 서비스업",3278.533373,1.84330146
202008,전라남도,정보통신업,1794.892484,1.009148775
202008,전라남도,제조업,118571.0053,66.66459734
202008,전라북도,"공공 행정, 국방 및 사회보장 행정",8559.139765,7.514395989
202008,전라북도,교육 서비스업,7175.630732,6.299760522
202008,전라북도,금융 및 보험업,6958.152273,6.108827869
202008,전라북도,보건업 및 사회복지 서비스업,5997.583749,5.265508043
202008,전라북도,부동산업,1623.867944,1.425655744
202008,전라북도,숙박 및 음식점업,2661.186428,2.336357295
202008,전라북도,운수 및 창고업,1879.238388,1.649855219
202008,전라북도,"전기, 가스, 증기 및 공기 조절 공급업",2095.025009,1.839302542
202008,전라북도,"전문, 과학 및 기술 서비스업",7466.466667,6.555096507
202008,전라북도,정보통신업,1904.057823,1.671645149
202008,전라북도,제조업,67582.88146,59.33359512
202008,제주특별자치도,"공공 행정, 국방 및 사회보장 행정",14728.00785,18.88807132
202008,제주특별자치도,교육 서비스업,15637.33025,20.05424033
202008,제주특별자치도,국제 및 외국기관,1263.375,1.620227076
202008,제주특별자치도,금융 및 보험업,5414.441948,6.94380168
202008,제주특별자치도,보건업 및 사회복지 서비스업,6590.861869,8.452512404
202008,제주특별자치도,부동산업,1981.245697,2.540867061
202008,제주특별자치도,숙박 및 음식점업,5800.042406,7.438318592
202008,제주특별자치도,운수 및 창고업,5962.991071,7.647293631
202008,제주특별자치도,"전기, 가스, 증기 및 공기 조절 공급업",1501.567883,1.925699765
202008,제주특별자치도,"전문, 과학 및 기술 서비스업",3190.631068,4.091854633
202008,제주특별자치도,정보통신업,2198.424301,2.819389792
202008,제주특별자치도,제조업,13706.26193,17.57772371
202008,충청남도,"공공 행정, 국방 및 사회보장 행정",10401.12842,4.12687145
202008,충청남도,교육 서비스업,9770.019718,3.876465496
202008,충청남도,금융 및 보험업,6406.223235,2.541806879
202008,충청남도,보건업 및 사회복지 서비스업,5084.154122,2.017247518
202008,충청남도,부동산업,2036.698138,0.8081038
202008,충청남도,숙박 및 음식점업,2516.580238,0.998507346
202008,충청남도,운수 및 창고업,2613.181922,1.036836143
202008,충청남도,"전기, 가스, 증기 및 공기 조절 공급업",14530.93775,5.765462142
202008,충청남도,"전문, 과학 및 기술 서비스업",5961.322906,2.365283103
202008,충청남도,정보통신업,2156.130172,0.855491028
202008,충청남도,제조업,190557.847,75.60792509
202008,충청북도,"공공 행정, 국방 및 사회보장 행정",14248.40196,8.495432226
202008,충청북도,교육 서비스업,7550.631029,4.501969719
202008,충청북도,금융 및 보험업,4675.42394,2.787663299
202008,충청북도,보건업 및 사회복지 서비스업,5272.788642,3.143834563
202008,충청북도,부동산업,1933.847993,1.153032782
202008,충청북도,숙박 및 음식점업,2406.166315,1.4346467
202008,충청북도,운수 및 창고업,5139.809038,3.06454713
202008,충청북도,"전기, 가스, 증기 및 공기 조절 공급업",2800.267127,1.669624401
202008,충청북도,"전문, 과학 및 기술 서비스업",7698.828794,4.59033079
202008,충청북도,정보통신업,2050.922655,1.222837092
202008,충청북도,제조업,113941.3003,67.9360813
